#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-08-01T17:30:07 [V7.32.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-08-01T17:30:07	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-out=e_V(R)
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.3	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_36430161
#Name: J/A+A/643/A161
#Title: Coadded rotation curves of disk galaxies (Dehghani+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/a+a/643/a161	
#INFO	publisher=CDS	
#INFO	creator=Dehghani R.	
#INFO	related_resource=bibcode:2020A&A...643A.161D	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/643/A161	
#INFO	publication_id=doi:10.26093/cds/vizier.36430161	
#INFO	publication_date=2021-09-06	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_643_A161_table2:
#Name: J/A+A/643/A161/table2
#Title: Coadded rotation curves and their relevant quantities
#Column	j	(I2)	[1/26] Index of velocity bins (j)	[ucd=meta.id]
#Column	Vopt	(I3)	[40/330] Optical velocity (V_j,opt_)	[ucd=spect.dopplerVeloc.opt]
#Column	Ropt	(F4.1)	[2.5/29.1] Optical radius (R_j,opt_)	[ucd=phys.size.radius]
#Column	N	(I2)	[9/30] Number of data in each bin	[ucd=meta.id]
#Column	R	(F12.9)	[0.275/46.528] Physical radius	[ucd=phys.size.radius]
#Column	V(R)	(F13.9)	[7.2822/335.346] Physical velocity	[ucd=phys.veloc.rotat]
#Column	e_V(R)	(F12.9)	[0.36/24.552] rms uncertainty on V(R) (dV)	[ucd=stat.error]
j|Vopt|Ropt|N|R|V(R)|e_V(R)
21|205|13.5|29| 2.433600000|112.955000000| 2.665000000
21|205|13.5|29| 3.244800000|133.045000000| 2.870000000
21|205|13.5|29| 4.056000000|149.445000000| 2.870000000
21|205|13.5|29| 4.867200000|161.540000000| 2.665000000
21|205|13.5|29| 5.678400000|170.560000000| 2.255000000
21|205|13.5|29| 6.489600000|177.530000000| 2.255000000
21|205|13.5|29| 7.300800000|183.885000000| 2.255000000
21|205|13.5|29| 8.112000000|189.010000000| 2.665000000
21|205|13.5|29| 8.923200000|193.725000000| 2.050000000
21|205|13.5|29| 9.734400000|197.005000000| 2.050000000
21|205|13.5|29|10.545600000|199.465000000| 2.255000000
21|205|13.5|29|11.356800000|201.310000000| 1.845000000
21|205|13.5|29|12.168000000|203.565000000| 1.640000000
21|205|13.5|29|12.979200000|203.975000000| 2.255000000
21|205|13.5|29|13.790400000|205.410000000| 1.845000000
21|205|13.5|29|14.601600000|207.050000000| 2.050000000
21|205|13.5|29|15.412800000|207.460000000| 2.255000000
21|205|13.5|29|16.224000000|210.330000000| 2.050000000
21|205|13.5|29|17.035200000|214.635000000| 2.050000000
21|205|13.5|29|17.846400000|216.890000000| 1.845000000
21|205|13.5|29|18.657600000|220.375000000| 2.255000000
21|205|13.5|29|19.468800000|221.605000000| 3.485000000
21|205|13.5|29|20.280000000|220.375000000| 4.305000000
21|205|13.5|29|21.091200000|217.300000000| 5.330000000
21|205|13.5|29|21.902400000|215.660000000| 5.125000000
21|205|13.5|29|22.713600000|209.305000000| 4.510000000
21|205|13.5|29|24.065600000|201.720000000| 5.945000000
22|243|18.0|30| 1.080000000| 66.582000000| 9.720000000
22|243|18.0|30| 2.160000000|114.939000000| 4.617000000
22|243|18.0|30| 3.240000000|147.258000000| 4.374000000
22|243|18.0|30| 4.320000000|170.343000000| 4.374000000
22|243|18.0|30| 5.400000000|188.082000000| 2.673000000
22|243|18.0|30| 6.480000000|200.961000000| 3.402000000
22|243|18.0|30| 7.560000000|210.438000000| 2.187000000
22|243|18.0|30| 8.640000000|216.999000000| 2.673000000
22|243|18.0|30| 9.720000000|222.102000000| 2.430000000
22|243|18.0|30|10.800000000|227.691000000| 2.916000000
22|243|18.0|30|11.880000000|232.065000000| 2.430000000
22|243|18.0|30|12.960000000|234.495000000| 2.430000000
22|243|18.0|30|14.040000000|237.168000000| 2.673000000
22|243|18.0|30|15.120000000|239.598000000| 2.430000000
22|243|18.0|30|16.200000000|241.299000000| 1.944000000
22|243|18.0|30|17.280000000|242.757000000| 2.187000000
22|243|18.0|30|18.360000000|243.243000000| 2.430000000
22|243|18.0|30|19.440000000|243.243000000| 2.430000000
22|243|18.0|30|20.520000000|243.243000000| 2.187000000
22|243|18.0|30|21.600000000|242.757000000| 2.187000000
22|243|18.0|30|22.680000000|243.486000000| 2.916000000
22|243|18.0|30|23.760000000|242.757000000| 2.916000000
22|243|18.0|30|24.840000000|245.430000000| 3.159000000
22|243|18.0|30|25.920000000|244.701000000| 3.402000000
22|243|18.0|30|27.000000000|244.944000000| 4.617000000
22|243|18.0|30|28.080000000|247.131000000| 5.346000000
22|243|18.0|30|29.160000000|246.645000000| 5.589000000
22|243|18.0|30|30.240000000|247.860000000| 6.318000000
22|243|18.0|30|32.040000000|247.860000000| 5.832000000
22|243|18.0|30|33.840000000|256.365000000| 6.075000000
23|279|22.6|30| 1.358400000| 87.327000000| 7.254000000
23|279|22.6|30| 2.716800000|147.870000000| 4.185000000
23|279|22.6|30| 4.075200000|184.698000000| 3.627000000
23|279|22.6|30| 5.433600000|208.971000000| 3.348000000
23|279|22.6|30| 6.792000000|225.990000000| 3.069000000
23|279|22.6|30| 8.150400000|238.545000000| 2.790000000
23|279|22.6|30| 9.508800000|248.310000000| 2.790000000
23|279|22.6|30|10.867200000|255.843000000| 1.953000000
23|279|22.6|30|12.225600000|261.144000000| 1.953000000
23|279|22.6|30|13.584000000|266.445000000| 2.232000000
23|279|22.6|30|14.942400000|269.514000000| 1.953000000
23|279|22.6|30|16.300800000|271.746000000| 2.511000000
23|279|22.6|30|17.659200000|274.815000000| 2.232000000
23|279|22.6|30|19.017600000|275.094000000| 2.511000000
23|279|22.6|30|20.376000000|276.768000000| 1.953000000
23|279|22.6|30|21.734400000|278.721000000| 1.953000000
23|279|22.6|30|23.092800000|279.000000000| 2.232000000
23|279|22.6|30|24.451200000|279.000000000| 2.232000000
23|279|22.6|30|25.809600000|280.395000000| 1.953000000
23|279|22.6|30|27.168000000|278.442000000| 2.511000000
23|279|22.6|30|28.526400000|275.373000000| 2.232000000
23|279|22.6|30|29.884800000|274.257000000| 2.790000000
23|279|22.6|30|31.243200000|273.978000000| 3.069000000
23|279|22.6|30|32.601600000|273.699000000| 3.069000000
23|279|22.6|30|33.960000000|271.188000000| 3.627000000
23|279|22.6|30|35.318400000|267.003000000| 4.743000000
23|279|22.6|30|36.676800000|263.097000000| 6.696000000
23|279|22.6|30|38.035200000|260.307000000| 6.975000000
23|279|22.6|30|39.393600000|262.260000000| 7.254000000
23|279|22.6|30|41.657600000|250.542000000| 6.138000000
24|293|24.7|28| 1.482600000| 96.393710000| 5.859800000
24|293|24.7|28| 2.965200000|162.023470000| 4.687840000
24|293|24.7|28| 5.930400000|228.239210000| 3.222890000
24|293|24.7|28| 7.413000000|246.990570000| 2.929900000
24|293|24.7|28| 8.895600000|257.831200000| 2.343920000
24|293|24.7|28|10.378200000|266.620900000| 2.636910000
24|293|24.7|28|11.860800000|273.066680000| 2.050930000
24|293|24.7|28|13.343400000|277.168540000| 2.343920000
24|293|24.7|28|14.826000000|282.442360000| 2.343920000
24|293|24.7|28|16.308600000|284.786280000| 2.636910000
24|293|24.7|28|17.791200000|288.009170000| 2.343920000
24|293|24.7|28|19.273800000|289.767110000| 2.636910000
24|293|24.7|28|20.756400000|289.474120000| 2.343920000
24|293|24.7|28|22.239000000|290.060100000| 2.050930000
24|293|24.7|28|23.721600000|292.111030000| 2.343920000
24|293|24.7|28|25.204200000|293.575980000| 2.050930000
24|293|24.7|28|26.686800000|292.990000000| 1.757940000
24|293|24.7|28|28.169400000|288.888140000| 2.050930000
24|293|24.7|28|29.652000000|286.544220000| 2.343920000
24|293|24.7|28|31.134600000|289.474120000| 2.929900000
24|293|24.7|28|32.617200000|290.353090000| 3.515880000
24|293|24.7|28|34.099800000|293.868970000| 4.101860000
24|293|24.7|28|35.582400000|296.798870000| 4.980830000
24|293|24.7|28|37.065000000|293.868970000| 4.980830000
24|293|24.7|28|38.547600000|288.595150000| 4.687840000
24|293|24.7|28|40.030200000|283.614320000| 4.980830000
24|293|24.7|28|42.501200000|285.958240000| 3.222890000
25|330|29.1|26| 1.744800000|122.663280000|11.211160000
25|330|29.1|26| 3.489600000|203.779320000| 5.605580000
25|330|29.1|26| 5.234400000|240.710200000| 4.286620000
25|330|29.1|26| 6.979200000|268.408360000| 3.627140000
25|330|29.1|26| 8.724000000|286.873800000| 3.297400000
25|330|29.1|26|10.468800000|300.063400000| 2.637920000
25|330|29.1|26|12.213600000|305.009500000| 2.637920000
25|330|29.1|26|13.958400000|313.253000000| 2.308180000
25|330|29.1|26|15.703200000|318.199100000| 1.978440000
25|330|29.1|26|17.448000000|322.485720000| 2.308180000
25|330|29.1|26|19.192800000|327.761560000| 2.637920000
25|330|29.1|26|20.937600000|329.740000000| 2.308180000
25|330|29.1|26|22.682400000|329.080520000| 2.637920000
25|330|29.1|26|24.427200000|330.399480000| 2.308180000
25|330|29.1|26|26.172000000|330.399480000| 2.967660000
25|330|29.1|26|27.916800000|330.729220000| 2.967660000
25|330|29.1|26|29.661600000|329.410260000| 2.967660000
25|330|29.1|26|31.406400000|328.750780000| 3.297400000
25|330|29.1|26|33.151200000|329.410260000| 3.297400000
25|330|29.1|26|34.896000000|325.783120000| 3.956880000
25|330|29.1|26|36.640800000|324.793900000| 4.946100000
25|330|29.1|26|38.385600000|327.431820000| 5.275840000
25|330|29.1|26|40.130400000|318.199100000| 6.265060000
25|330|29.1|26|41.875200000|316.880140000| 6.924540000
25|330|29.1|26|43.620000000|319.518060000| 6.265060000
25|330|29.1|26|46.528000000|335.345580000| 6.594800000
26| 40| 2.5|14| 0.275000000|  8.400000000| 0.600000000
26| 40| 2.5|14| 0.550000000| 14.800000000| 0.840000000
26| 40| 2.5|14| 0.800000000| 19.600000000| 0.760000000
26| 40| 2.5|14| 1.025000000| 24.000000000| 0.760000000
26| 40| 2.5|14| 1.300000000| 27.200000000| 0.720000000
26| 40| 2.5|14| 1.575000000| 31.200000000| 0.560000000
26| 40| 2.5|14| 1.925000000| 34.400000000| 0.640000000
26| 40| 2.5|14| 2.275000000| 38.000000000| 0.360000000
26| 40| 2.5|14| 2.575000000| 39.600000000| 0.360000000
26| 40| 2.5|14| 2.950000000| 42.000000000| 0.400000000
26| 40| 2.5|14| 3.300000000| 42.800000000| 0.720000000
26| 40| 2.5|14| 3.625000000| 42.800000000| 0.800000000
26| 40| 2.5|14| 4.125000000| 44.800000000| 0.800000000
26| 40| 2.5|14| 4.700000000| 48.000000000| 1.200000000

